id,월키,날짜,부서,담당,제목,내용,매년반복
11,2025-03,3/12,"교무기획부","나이스·정보공시","나이스 부서별 권한 부여","학년 초 작년 기준으로 부서별 나이스 메뉴·부서원 권한 등록을 완료해 두고, 추가로 필요한 권한은 안내된 절차(첨부 매뉴얼)에 따라 각 부서에서 부서원에게 부여하도록 부장들에게 안내한다.",TRUE
12,2025-03,3/13,"도서관","사서","도서관 구입희망도서 신청(차수제)","제1차 구입희망도서 신청을 3/13 시작해 3/20 리마인드 후 3/31 16시 마감했다(구글 시트 입력). 2차 신청은 5/29 안내(6월 말~7월 구입 목표)로, 학기 중 차수를 나눠 반복 운영한다. 3월 초에는 교직원 이용자 등록, 4월에는 폐기도서 나눔전도 함께 진행.",TRUE
13,2025-03,3/17,"교육연구부","교육연구부장","교원학습공동체(교학공) 운영 개시 및 물품 지원","3/17 교학공 첫 활동일에 연간 운영계획 수립·계획서 패들렛 업로드를 안내하고, 교학공1은 전 교원 필수 참여 원칙(직무연수 신청 병행, 공동성찰 4/14 시작)임을 공지했다. 교학공당 학습준비물·교사 연구물품(60만원)·공동 연구도서(20만원)를 연간 예산으로 지원하며 1차 3/28, 2차 4/30 등 차수별로 구글 시트 신청을 받는다(수업 관련성 없는 물품은 제외). 이후 품의는 교무행정(김순주)·행정실과 연계해 처리.",TRUE
14,2025-03,3/17,"체육안전부","체육안전부장","안전점검 담당 지정 및 매월 4일 안전점검","3/17 부장·교과대표에게 특별실 안전점검 담당교사 지정을 요청하고(주 사용자 기준), 3/19 매월 4일 안전점검 체크리스트 제출 체계를 안내했다. 교실은 담임, 특별실은 담당교사, 운동장·시설은 행정실이 점검해 공유자료실>체육안전부>월별 폴더에 탑재하며, 매월 4일 전후 리마인드 메시지를 보낸다.",TRUE
15,2025-03,3/21,"교무기획부","기획(인사·복무)","학부모총회 운영(3/21)","3/4부터 학부모총회용 학교 안내자료를 부서별 수정 수합(3/6 마감)해 외부 업체 제작 후 3/20 학급 배부했고, 부서별 발표 PPT는 3/17까지 수합했다. 당일은 10분 단축수업, 14:30 강당 총회 후 학급 교실에서 담임과 간담회를 진행하며 학급함에 비치 서류(위원 선출용 등)를 미리 준비한다. 총회에서 선출된 부서별 학부모위원(대의원, 교복·앨범선정위 등) 명단은 3/24 각 부서에 공유했다.",TRUE
16,2025-03,3/24,"교무기획부","나이스·정보공시","정보공시 1차(3월) 입력·마감","3/24~3/31 나이스 정보공시(작성자)에서 담당 항목을 입력 지침서에 따라 등록→확인→작성자 마감하고, 이후 부서 부장이 확인자 마감을 한다. 학년 초에 항목별 작성자 변경 필요 여부를 먼저 조사(3/18)한 뒤 진행한다.",TRUE
17,2025-03,3/26,"창의인문부","창의인문부장","1학기 임원리더십캠프(1박2일)","3/27~28 학급임원 140명이 대천임해교육원 임원리더십캠프에 참가했다. 참가자는 4교시 종료 15분 전 조기 식사 후 12:20 집결(체육복 착용, 핸드폰 지참), 출결은 첫날 5~7교시 인정조퇴·둘째날 인정결석 처리하고 종료 후 최종 참가자 명단으로 출석인정 공문을 결재받는다.",TRUE
18,2025-03,3/31,"교육연구부","교직원연수·청렴","교직원회의 운영 절차","교직원회의(월요일 15:30, 과학실A)는 각 부서가 직전 금요일 12시까지 회의자료 PDF를 공유드라이브에 업로드하고, 당일 부서별 연수(고사계획·청렴·생명존중 등 의무교육 포함)를 진행한다. 회의 후 참석 명부 3종에 서명을 받아 연수 이수 근거로 관리하며, 명부는 공유드라이브에 보관한다. 4/21, 5/12(취소) 등 월 1회꼴로 반복.",TRUE
19,2025-04,4/1,"교무기획부","고사계","1학기 중간고사 준비·시행 흐름","3/31 교직원회의에서 시행계획 연수 및 제출서류(원안 양식, 서논술형 채점기준표 등) 배부 → 4/1 중간고사 계획 교과협의록 기안 → 4/18 복무로 감독 불가한 교사 조사(4/22까지) → 4/24 원안 포장 희망시간 조사 후 4/28 포장 일정 확정 → 4/29~30 고사 감독 연수(과학실A) 및 감독 매뉴얼 배부 → 5/1 시행. 민원이 많은 학교 특성상 감독 연수 필수 참석을 강조하고, 당일 수행+지필 병행 교시는 교무부에서 직접 방송으로 안내하며 화장실은 반별 1명씩만 허용. 평가 사전공지·부정행위 예방 유의사항은 4/24 재안내했다.",TRUE
20,2025-04,4/1,"행정실","급여","외부기관 시험 감독관 수시 모집","학교 교실을 빌려 치르는 외부 시험(IBK·금융연수원·한수원·수협 등, 3월~5월 거의 매주 토요일)의 감독관을 급여담당이 쿨메신저로 선착순 모집한다(수당 8만~15만원). 시험 전날 교실 정리·학생 개인물품 사물함 보관을 담임에게 협조 요청하고, 확정자에게는 출근시간·수당 지급 방식을 별도 안내한다.",TRUE
21,2025-04,4/2,"교육연구부","장학","법정의무연수·직무연수 이수 관리","연 60시간 이상 직무연수 이수(성과급 불이익 방지)와 법정의무연수 목록을 4/2 안내하고, 구글 시트로 이수 현황을 관리한다. 성희롱·성폭력·성매매 예방연수는 6/30까지(보건 안내), 안보·청렴교육 이수증은 7/18(방학식)까지 한수정에게 PDF 제출, 아동학대·긴급복지 신고의무자 교육은 교육연수원 강좌로 이수한다. 신학년 집중 준비기간 연수(2/17~3/7)의 나이스 등재 여부도 4/14·4/28 확인을 요청했다.",TRUE
22,2025-04,4/4,"교육연구부","교육연구부장","교직원 워크숍 기획·실시(5/15)","4/4 날짜 선호 설문(공무직·급식실은 5/1 근로자의날 휴무임을 고려) → 4/8 5/15(목) 강원도로 확정, 1~3교시 수업 후 출발(5,6,7교시를 1~3교시로 변경 운영) → 5/13~14 버스 좌석 배정표·참석 명단 확정 → 5/15 실시 후 구글폼 만족도 조사. 참석 인원과 품의 인원이 일치해야 정산 문제가 없으므로(5/20 지출 지적) 당일 불참자 복무를 정확히 반영해야 한다.",TRUE
23,2025-04,4/8,"진로교육부","진로체험","1학년 잡월드 진로탐색활동","중간고사일(5/1) 1학년 외부 진로탐색활동(잡월드)을 위해 4/8 프로그램 신청 방법을 안내하고, 잡월드 규정상 4/16~17 교과시간을 활용해 반별로 학생 직접 신청을 진행했다(교과교사 협조 필수). 5/1 당일은 1학년 담임·지도교사가 인솔하며 시험 감독 배정에서 제외된다.",TRUE
24,2025-04,4/8,"교무기획부","학적(행정지원사)","미인정 결석 학생 대응 계획","반별 미인정 결석 지속 학생은 결석 사유와 학생 소재·안전을 파악하고 담당자(이수진·김희경)에게 보고하도록 담임에게 안내한다. 정원외 학적관리(결석 64일째) 도달 전까지 단계별 대응(전화·가정방문 등)이 필요하다.",TRUE
25,2025-04,4/9,"과학정보부","정보기획","개인정보보호·정보보안 조치","4/1 부서별 개인정보 처리 위탁업무·수탁기관 현황을 조사해 개인정보 처리방침을 갱신하고, 4/10 개인정보 처리 유의사항·파기 절차와 양식을 공유자료실(2025 과학정보부>개인정보)에 탑재해 안내했다. 4/30에는 보안SW 3종 업데이트 등 정보보안 이슈 조치를 전 교직원에게 공지했다. 별도로 3월에 내PC지킴이 점검용 PC 이름 변경, 매월 PC지킴이 점검일 안내를 병행한다.",TRUE
26,2025-04,4/11,"보건","보건","보건실 입실확인증 운영 및 이용 지도","수업 중 보건실 방문으로 15분 이상 수업에 불참하면 질병결과 처리되며, 보건실 입실확인증을 발급해 교과교사가 확인하는 체계를 운영한다. 일일 보건실 이용이 160~170건에 달해 수업 시작 후 무단 방문·장기 체류 학생 지도를 교과·담임에게 반복 요청했다(4/30).",TRUE
27,2025-04,4/14,"2학년부","기초학력","기초학력 향상수업(키다리샘) 운영","3/24 학년·교과별 기초학력 수업 담당교사 선정 → 4/11 학습지원대상학생 지원협의회 구성(업무담당·수업담당·담임 포함) → 4/14 수업 개시 안내. 연간 15차시(차시당 45분, 학기별 7~8차시)를 12월 기말고사 전까지 운영하고, 출석부에 방과후 시간으로 기재하며 복무와 겹치지 않게 유의한다. 교재비는 학생 1인당 6만원, 수업 수당은 차시당 3만원(학기말 일괄 지급)이며 학생 간식도 부서에서 지원한다. 예산 여유 시 키다리샘 추가 팀도 선착순 모집(4/1).",TRUE
28,2025-04,4/15,"창의인문부","교내동아리","동아리 활동일 회차별 운영 절차","동아리 활동일(4/18, 5/16 등 금요일 5~7교시) 약 열흘 전에 주제·활동장소·회비·외부활동 집합장소를 스프레드시트에 입력받고, 활동 2~3일 전 학생 안내문을 학급함에 배부해 담임이 게시·안내한다. 우천 시 교내 대체 장소를 당일 1교시까지 신청받아 배정하며(5/16 사례), 보강 필요 교사는 사전에 담당자에게 신청한다. 동아리 물품비(총 200만원)는 수요조사 후 배분한다.",TRUE
29,2025-04,4/22,"교무기획부","교무기획부장","제21대 대통령선거 관련 업무","6/3 대선 대비 투표사무원 2명·개표사무원 1명 추천을 4/22 안내(4/24 마감, 선착순). 공무원 선거중립·정치관계법 공문을 수시 공람하고(4/22, 5/12 온라인 연수 자료), 5/22에는 학생들의 선거벽보 훼손 방지 지도를 요청했다. 6/3이 임시공휴일로 지정되면서 1학년 주제선택·3학년 스포츠클럽 이수 시수를 7월 학사일정으로 대체 편성했다.",FALSE
30,2025-04,4/22,"과학정보부","방송·디벗","1학년 디벗(크롬북) 보급","4/22 1학년 1~14반 교실에 디벗(크롬북)이 입고·설치되고(수업 중 설치기사 출입 양해), 점검을 거쳐 5/7부터 1학년 수업에서 사용 개시를 안내했다(전 기기 와이파이 연결 완료). 교과교사는 5/7 이후 수업에서 활용 가능하다.",TRUE
31,2025-04,4/28,"1학년부","기획(자유학기)","자유학기 서술평가 중간 피드백 입력","1학년 자유학기 교과 담당교사는 5/23까지 나이스(교과담임-성적-학생별 서술평가)에 과목별 중간 피드백을 입력해야 한다(4/28 안내). 동아리 특기사항은 중간 피드백 때 내보내지 않고 학기말에 일괄 입력하기로 5/27 정정·통일했다.",TRUE
32,2025-04,4/29,"교무기획부","기획(인사·복무)","체험활동 잔류학생 지도(5/8~9)","5/8~9 학년·학급별 체험활동을 앞두고 4/29 담임에게 미참여 예정자 명단(구글 시트) 입력을, 비담임에게 잔류지도 불가 사유(연가 등) 회신을 당일 마감으로 요청했다. 잔류학생은 점심 개별 지참을 안내하고, 5/7 잔류학생 지도 계획을 공람했다(당일 발생 가능성 대비 복무 참고).",TRUE
33,2025-04,4/30,"교무기획부","기획(인사·복무)","8월말 교육공무원 명예퇴직 신청 안내","4/30 2025년 8월말 명예퇴직 시행계획 공문을 공람하고(공고기간 5/1~), 희망자는 담당자에게 메시지로 신청 의사를 밝히도록 안내했다. 5/22 마감 직전 재안내를 발송했다.",TRUE
34,2025-05,5/1,"교무기획부","성적처리","중간고사 성적처리(채점~마감)","5/1 학생 답안 업로드 완료 후 교과교사가 나이스 과목별 채점을 진행하고, 성적이의신청 기간(5/12~14)을 담임 통해 학생에게 안내한다. 지필평가 성적 마감은 5/19이며, 전 학급 마감 후 정답률비교표·문항분석표 확인이 가능하다(결시자 인정점은 담당자가 입력). 이후 5/14 중간고사 성적 결과 분석 교과협의록을 기안한다(5/21 결재 완료 기한).",TRUE
35,2025-05,5/2,"창의인문부","창의인문부장","7교시 예방교육(안전·인성·흡연) 임장 운영","5/7 안전교육, 5/27 인성교육의 날, 5/30 흡연예방교육 등 7교시 방송형 예방교육을 운영하며, 매회 약 1주 전 임장 불가(조퇴·출장) 교사를 조사해 비담임 우선·기존 임장 이력을 고려한 임장 명단을 전일 배포한다. 인성교육의 날은 활동지·메모지를 학급함에 배부해 담임이 조회시간에 나눠주고 활동 후 결과물을 게시·수합한다.",TRUE
36,2025-05,5/7,"교장·교감","교감","가족돌봄휴가 사용·증빙 안내","가족돌봄휴가(유급)는 시간 단위 분할 사용이 가능하며 증빙서류 첨부가 필수임을 전 교직원에게 안내했다(첨부 매뉴얼 배포). 평소 복무 상신은 오전 11시(금요일은 오전 중) 이전 완료 원칙, 사유란 기재 필수 등 복무 관련 안내가 수시로 반복된다.",TRUE
37,2025-05,5/7,"창의인문부","창의인문부장","잠실공동체 약속 제정(설문→협약식)","서울교육공동체 약속 추진계획에 따라 4/28 설문 문항을 제작하고, 5/7~14 학생 설문(학급 게시·안내)과 5/15 워크숍 교직원 설문(QR)을 진행했다. 5/20 결과 공유와 최종 문구 의견 수렴을 거쳐 5/23 학급별 협약식을 실시, 협약서에 학생·보호자 서명을 받아 회수했다.",FALSE
38,2025-05,5/9,"상담복지부","상담복지부장","교육복지위원회 장학생 선정","5/9 장학생 선정을 위한 교육복지위원회 개최를 공지하고 5/14 15:30 수업나눔카페에서 부장단으로 구성된 위원회를 열어 교육복지 대상학생 2명 중 1명에게 장학금 120만원(1회성) 지급을 심의했다. 5/16 회의 결과 보고를 기안해 결재받았다.",TRUE
39,2025-05,5/9,"생활지도부","부장","점심시간 교내 순회지도 운영","학년부장·교감 회의와 부장회의 의견 수렴을 거쳐 점심시간 학생 안전지도·학교폭력 예방을 위한 교내 순회지도 계획을 수립했다(5/9 안내). 교사별 지정 위치에서 점심시간 지도를 실시하며, 올해 학교폭력 발생이 많아 조·종례 시 예방지도도 병행 요청됐다(4/22 교감 당부).",TRUE
40,2025-05,5/12,"교무기획부","수업계","분기별 보강 수당 지급 확인","1분기(3/1~5/2) 보강 배정 내역을 정리해 첨부파일로 공유하고, 당일 중 이상 여부를 회신받은 뒤 보강 수당을 지급한다. 분기 단위로 반복되므로 학기 중 보강 배정 기록을 누적 관리해야 한다.",TRUE
41,2025-05,5/14,"보건","보건","심폐소생술·응급처치 연수 일정 예고","2학년 학생 심폐소생술 교육을 7/7(월) 교시별 분반으로 실시함을 5/14 예고하고(해당 교과교사 참고), 교직원 응급처치(심폐소생술) 연수는 7/4(금) 14:20~17:20 단축수업으로 진행함을 5/28 안내했다. 교직원 연수는 매년 필수 이수로, 불참자는 개별 연수 신청으로 대체해야 한다.",TRUE
42,2025-05,5/19,"교무기획부","고사계","1학기 기말고사 준비 개시","5/19 기말고사 출제 교과 대상으로 시험시간 45분 미만 단축 희망 교과를 조사하고, 5/22 기말고사 시행계획 연수자료·지필고사 제출서류(원안 양식, 채점기준표 등)를 사전 배포했다(파일 비밀번호 별도 안내). 정식 연수는 6월 교직원회의에서 진행한다. 평가계획 변경 시에는 교과협의록 결재(고사계 공람) 절차를 거친다(5/29 안내).",TRUE
43,2025-05,5/29,"교무기획부","성적처리","학기말 성적처리 일정 사전 안내","5/29 학기말 성적처리 전체 일정을 예고했다: 6/27 수행평가 완료·마감(일람표 비고란 학생 정자서명) → 6/30 수행평가일람표 제출 → 6/30~7/2 OMR 리딩·나이스 채점 → 7/7 서술형 입력·학생 확인 → 7/8~9 정오표 배부·성적이의신청 → 7/10 지필 마감·인정점 부여 → 7/14 통지표 배부 → 7/18 대국민 나이스 반영. 동교과 강사 교사에게도 공유가 필요하다.",TRUE
44,2025-06,6/2,"교육연구부","교직원연수·청렴","월례 교직원회의 준비 및 안내","매월 교직원회의(월요일 15:30, 과학실A) 전 주에 각 부서가 공유드라이브 링크에 안건을 입력하도록 안내한다. 6/2 최초 안내 → 6/5 리마인드 → 6/9 당일 회의 공지 순으로 진행하며, 7/14·8/18·9/1 회의도 동일 패턴으로 반복된다. 기안이 필요한 자료가 있는 부서는 사전에 결재를 올리도록 함께 안내한다.",TRUE
45,2025-06,6/4,"체육안전부","안전점검·훈련","월 안전점검 체크리스트 제출","매월 4일 담임교사(교실)·특별실 담당교사(특별실)가 담당구역 안전상태를 점검하고 체크리스트를 공유자료실(체육안전부 폴더)에 탑재하도록 전체 안내한다. 수리가 필요한 부분은 시설유지보수 신청으로 연결하고, 운동장·기계·가스 등은 행정실 소관이다. 매달 같은 메시지를 발송한다.",TRUE
46,2025-06,6/4,"교무기획부","수업계","주간 시간표 변경·보강 안내(수업계 상시)","매주 목~금에 다음 주 시간표 변경 사항을 컴시간 알리미 기준으로 전체 공지하고, 담임교사가 학급 시간표 변경을 학생에게 안내하도록 한다. 결강 발생 시 보강 배정 안내와 교과교사 사전 확인 요청도 수시로 발송한다. 시험 전후·행사 주간에는 2주 단위로 묶어 안내하기도 한다.",TRUE
47,2025-06,6/5,"보건","보건","2·3학년 소변검사 실시","검사 전날(6/4) 교실 이외 장소 수업이나 수행평가 등으로 검사가 곤란한 반을 미리 파악하고, 당일(6/5) 오전 수업 중 학생이 검사받으러 이동하는 것에 대한 양해를 전체 교사에게 구한다. 해당 학년 수업 교사에게 검사 시간대 협조를 요청하는 흐름이다.",TRUE
48,2025-06,6/9,"교무기획부","생기부","1학기 생기부 입력 안내 및 점검계획 배포","6/9 교직원 연수에서 1학기 학교생활기록부 입력 안내와 점검계획을 연수한 뒤, 안내 파일과 PPT를 메신저 발송 및 공유자료실(교무기획부-학교생활기록부 폴더)에 탑재한다. 이후 7월 초 영역별 마감까지 이 자료가 기준이 되므로 학기말 약 한 달 전에 연수·배포하는 일정이다.",TRUE
49,2025-06,6/10,"교무기획부","나이스·정보공시","상반기 정보공시 자체 점검","수시·정시 1~2차 공시분에 대해 담당자별 자체점검표를 배부하고, 입력 내용·탑재자료 일치 여부를 O/X로 작성해 6/12까지 제출받는다. 오류 발견 시 수정·보완하고 정정대장 작성 대상자에게는 개별 안내하며, 개선 의견은 수합해 교육청에 전달한다.",TRUE
50,2025-06,6/10,"교무기획부","고사계","2학기 학생평가 선도과목 선정","학기별 2과목 이상, 수행평가 중점형(수행 70% 이상) 또는 서논술 중점형(서논술형 40% 이상) 중 택1로 선도과목을 선정한다. 6/10 안내 및 Q&A(선정돼도 추가 업무 없음, 계획대로 실시하면 됨) → 6/11 2과목 이상 선정 완료. 1학기 선정 과목 목록을 참고자료로 함께 제공하면 좋다.",TRUE
51,2025-06,6/10,"행정실","계약·학운위","학교운영위원회 안건 제출 및 회의 운영","6/10 학운위 회의 개최 안내와 함께 각 부서 안건 제출을 요청하고(6/16까지), 6/17 미제출 부서에 리마인드를 보낸다. 회의 후 학운위원 협의회 일정도 안내하며 불참자는 회신받는다. 안건 제출 마감 관리가 핵심이다.",TRUE
52,2025-06,6/10,"창의인문부","창의인문부장","다문화이해교육 필수 직무연수 이수 안내","다문화이해교육 직무연수가 3년간 15시간 필수 이수라는 공문에 따라 전 교원에게 이수를 안내한다. 7/14 연구부에서 원격연수 강좌 링크를 추가 안내하는 등 학기 중 반복 안내가 이루어진다. 이수 실적 관리가 필요한 법정 성격의 연수다.",TRUE
53,2025-06,6/16,"교무기획부","고사계","2학기 평가계획 수립 안내","6/16 2학기 평가계획 양식 배부(회수 후 재발송 주의) → 6/18 수립 관련 공지·참고자료 링크 제공 → 6/24 1학년 양식 수정 안내(지식·이해, 과정·기능, 가치·태도 범주는 평가요소별 기재) → 6/24 수행평가 가능 점수 확인용 시트 공유 순으로 진행한다. 교과별 협의를 거쳐 7월 초 제출받는다.",TRUE
54,2025-06,6/17,"교무기획부","고사계","기말고사 시험감독 편성 사전조사","기말고사(6/30~7/2) 전에 복무 사유(나이스 결재 필수)로 시험감독이 불가한 교사를 6/19까지 조사한다(고사기간 1학년 수업·외부활동 지도교사 제외). 이후 고사계(임혜란)가 매일 아침 당일 시험감독표를 발송한다.",TRUE
55,2025-06,6/17,"교장·교감","교감","장기결석·학업중단숙려제 학생 평가 처리 지침","학기말 평가 전 장기결석(건강·부적응·학폭 등)·학업중단숙려제 학생의 평가 처리에 유의하도록 교감이 전체 안내하고, 교무기획부장이 상세 지침을 후속 발송한다(6/17). 이 지침은 이후 성적처리 담당자의 학적변동 학생 점수 입력 안내(6/23)의 근거가 된다.",TRUE
56,2025-06,6/20,"교육연구부","장학","컨설팅 장학 운영","6/20 컨설팅 장학 계획 안내(영역: 생활교육_생활지도 및 학교폭력예방) → 6/26 사전질문 구글시트 수합 → 7/7 15:00 컨설팅 실시(당일 시간 변경 공지 포함) → 7/8 활용자료 공유 순으로 진행한다. 사전질문 수합과 당일 일정 안내가 담당자의 주 업무다.",TRUE
57,2025-06,6/23,"교무기획부","성적처리","1학기 수행평가 점수 입력·마감·일람표 제출","6/23 학적변동 학생(전출·면제·장기결석·미인정유학·대안위탁·학업중단숙려제) 유형별 점수 입력 기준 안내 → 6/24 일람표 제출 방법 안내(나이스 경로, 전 교사 서명, 클립철) → 6/26 전영역 마감 후 출력 필수 안내(대안위탁 학생 명렬 누락 방지) → 6/30 퇴청 전 제출 마감·미제출 교과 독촉. 강사 담당 교과는 동교과 교사가 챙기도록 한다.",TRUE
58,2025-06,6/23,"보건","보건","교직원 결핵검진(흉부X선)","여름방학 전 전 교직원 대상 결핵검진을 안내한다. 기간 6/30~7/17, 복무는 공가(종일 지양), 행정실 카드 수령 → 보건협회(9,120원) 또는 보건소(1,500원) 검진 → 다음날 카드·영수증 반납, 검진 후 보건실 명부 서명. 공단검진 대상자(홀수년도 출생)는 갈음 가능하며 6/30, 7/15, 8/19에 반복 리마인드한다.",TRUE
59,2025-06,6/24,"상담복지부","방과후","여름방학(2기) 방과후학교 강좌 개설 수요조사","여름방학 방과후학교(7/21~8/1, 2주간 하루 2차시 총 20차시) 강좌 개설 희망 교사를 조사한다. 강좌당 최대 20명(12명 이상 개설, 10명 미만 폐강), 수당은 4,000원×20차시×수강인원. 개설 희망자는 7/1까지 구글시트에 작성하도록 안내한다.",TRUE
60,2025-06,6/26,"교무기획부","교무기획부장","기말고사 교실 준비 및 고사기간 운영","고사 전일(6/27) 2·3학년 교실을 5X7 대형으로 맞추고 책상 속을 비운 뒤 서랍이 칠판을 향하게 돌리며 낙서·부착물을 확인하도록 긴급 안내한다. 고사 중 가방 잠금, 휴대폰·스마트워치 등 전자기기 소지 금지(소지만으로 부정행위) 지도 포함. 고사기간에는 1학년 진로활동을 담임이 전 시간 임장하고, 복무는 오전 10시까지 상신하도록 안내한다.",TRUE
61,2025-06,6/30,"교무기획부","기획(인사·복무)","여름방학 과제 수요 수합","여름방학 계획 수립을 위해 방학 과제가 있는 교과는 교과주임이 수합하여 7/3까지 메시지로 회신하도록 안내한다. 방학식 약 3주 전 방학계획 수립 착수 시점에 진행한다.",TRUE
62,2025-07,7/2,"과학정보부","과학정보부장","교실 기자재(컴퓨터·전자칠판) 비밀번호 변경","교육 기자재 보안 강화를 위해 1·2학년 교실 컴퓨터와 3학년 전자칠판 비밀번호를 연도 기반으로 변경하고 전 교직원에게 안내한다(학생 공유 금지). 전자칠판은 화면 터치 대신 키보드로 입력하고, 종료 시 전원 버튼이 빨간색인지 확인하도록 사용 지침도 함께 안내한다.",TRUE
63,2025-07,7/3,"교무기획부","고사계","기말고사 원안·정답배점표 제출(고사계)","기말고사 실시 교과는 고사원안 PDF(문서 암호 반드시 해제, 고사 중 수정사항 반영)와 정답배점표 PDF를 7/7까지 고사계에게 메신저로 제출한다. 고사 종료 직후 안내하여 성적처리 전에 수합을 완료한다.",TRUE
64,2025-07,7/3,"교무기획부","교무기획부장","학기말 단축수업 일과 운영","기말고사 후 학기말 업무 기간 일과를 조정한다: 7/4는 심폐소생술 연수로 10분 단축(35분 수업), 7/7~7/17은 5분 단축(40분 수업). 점심시간 변경을 학생에게 안내하고, 방송담당 교사의 타종 세팅과 메신저가 안 되는 강사에 대한 부서별 전달을 반드시 챙긴다.",TRUE
